pcode,COUNTY_,CNSTTNC_1,wards_2
KE0030110055,Kilifi,Kilifi North,Matsangoni
KE0030110057,Kilifi,Kilifi North,Mnarani
KE0030120059,Kilifi,Kilifi South,Mwarakaya
KE0030120061,Kilifi,Kilfi South,Chasimba
KE0030130063,Kilifi,Kaloleni,Mariakani
KE0030130064,Kilifi,Kaloleni,Kayafungo
KE0030130065,Kilifi,Kaloleni,Kaloleni
KE0030130066,Kilifi,Kaloleni,Mwanamwinga
KE0030140067,Kilifi,Rabai,Mwawesa
KE0030140068,Kilifi,Rabai,Ruruma
KE0030140069,Kilifi,Rabai,Kambe/Ribe
KE0030140070,Kilifi,Rabai,Rabai/Kisurutini
KE0030150071,Kilifi,Ganze,Ganze
KE0030150072,Kilifi,Ganze,Bamba
KE0030150073,Kilifi,Ganze,Jaribuni
KE0030150074,Kilifi,Ganze,Sokoke
KE0030160075,Kilifi,Malindi,Jilore
KE0030160076,Kilifi,Malindi,Kakuyuni
KE0030170080,Kilifi,Magarini,Marafa
KE0030170081,Kilifi,Magarini,Magarini
KE0030170082,Kilifi,Magarini,Gongoni
KE0030170083,Kilifi,Magarini,Adu
KE0030170084,Kilifi,Magarini,Garashi
KE0020070031,Kwale,Msabweni,Gombato Bogwe
KE0020080035,Kwale,Lunga Lunga,Pongwe/Kikoneni
KE0020080036,Kwale,Lunga Lunga,Dzombo
KE0020080037,Kwale,Lunga Lunga,Mwereni
KE0020080038,Kwale,Lunga Lunga,Vanga
KE0020090039,Kwale,Matuga,Tsimba Golini
KE0020090042,Kwale,Matuga,Kubo South
KE0020090043,Kwale,Matuga,Mkongani
KE0020100044,Kwale,Kinango,Ndavaya
KE0020100045,Kwale,Kinango,Puma
KE0020100046,Kwale,Kinango,Kinango
KE0020100047,Kwale,Kinango,Mackinon Road
KE0020100048,Kwale,Kinango,Chengoni/Samburu
KE0020100049,Kwale,Kinango,Mwabila
KE0020100050,Kwale,Kinango,Kasemeni
KE0160760379,Machakos,Yatta,Ikombe
KE0160770381,Machakos,Kangundo,Kangundo North
KE0160770382,Machakos,Kangundo,Kangundo Central
KE0160770383,Machakos,Kangundo,Kangundo East
KE0160770384,Machakos,Kangundo,Kangundo West
KE0160780385,Machakos,Matungulu,Tala
KE0160780386,Machakos,Matungulu,Matungulu North
KE0160780387,Machakos,Matungulu,Matungulu East
KE0160780388,Machakos,Matungulu,Matungulu West
KE0160780389,Machakos,Matungulu,Kyeleni
KE0160790390,Machakos,Kathiani,Mitaboni
KE0160790391,Machakos,Kathiani,Kathiani Central
KE0160790392,Machakos,Kathiani,Upper Kaewa/Iveti
KE0160790393,Machakos,Kathiani,Upper Kaewa/Kaani
KE0160800394,Machakos,Mavoko,Athi River
KE0160800395,Machakos,Mavoko,Kinanie
KE0160800396,Machakos,Mavoko,Muthwani
KE0160800397,Machakos,Mavoko,Syokimau
KE0160810398,Machakos,Machakos Town,Kalama
KE0160810399,Machakos,Machakos Town,Mua
KE0160810400,Machakos,Machakos Town,Mutituni
KE0160810401,Machakos,Machakos Town,Machakos Central
KE0160810402,Machakos,Machakos Town,Mumbuni North
KE0160810403,Machakos,Machakos Town,Muvuti/Kiima Kimwe
KE0160810404,Machakos,Machakos Town,Kola
KE0160820405,Machakos,Mwala,Mbiuni
KE0160820406,Machakos,Mwala,Makutano/Mwala
KE0160820407,Machakos,Mwala,Masii
KE0160820408,Machakos,Mwala,Muthetheni
KE0160820409,Machakos,Mwala,Wamunyu
KE0160820410,Machakos,Mwala,Kibauni
KE0170830411,Makueni,Mbooni,Tulimani
KE0170830412,Makueni,Mbooni,Mbooni
KE0170830413,Makueni,Mbooni,Kithungo/Kitundu
KE0170830414,Makueni,Mbooni,Kiteta/Kisau
KE0170830415,Makueni,Mbooni,Waia-Kako
KE0170830416,Makueni,Mbooni,Kalawa
KE0170840417,Makueni,Kilome,Kasikeu
KE0170840418,Makueni,Kilome,Mukaa
KE0170840419,Makueni,Kilome,Kiima Kiu/Kalanzoni
KE0170850420,Makueni,Kaiti,Ukia
KE0170850421,Makueni,Kaiti,Kee
KE0170850422,Makueni,Kaiti,Kilungu
KE0170850423,Makueni,Kaiti,Ilima
KE0170860424,Makueni,Makueni,Wote
KE0170860425,Makueni,Makueni,Muvau/Kikumini
KE0170860426,Makueni,Makueni,Mavindini
KE0170860427,Makueni,Makueni,Kitise/Kithuki
KE0170860428,Makueni,Makueni,Kathonzweni
KE0170860429,Makueni,Makueni,Nzaui/Kilili/Kalamba
KE0170860430,Makueni,Makueni,Mbitini
KE0170870431,Makueni,Kibwezi West,Makindu
KE0170870432,Makueni,Kibwezi West,Nguumo
KE0170870433,Makueni,Kibwezi West,Kikumbulyu North
KE0170870434,Makueni,Kibwezi West,Kikumbulyu South
KE0170870435,Makueni,Kibwezi West,Nguu/Masumba
KE0170870436,Makueni,Kibwezi West,Emali/Mulala
KE0170880437,Makueni,Kibwezi East,Masongaleni
KE0170880438,Makueni,Kibwezi East,Mtito Andei
KE0170880439,Makueni,Kibwezi East,Thange
KE0170880440,Makueni,Kibwezi East,Ivingoni/Nzambani
KE0010010001,Mombasa,Changamwe,Port Reitz
KE0010010003,Mombasa,Changamwe,Airport
KE0010010004,Mombasa,Changamwe,Changamwe
KE0010010005,Mombasa,Changamwe,Chaani
KE0010020006,Mombasa,Jomvu,Jomvu Kuu
KE0010020007,Mombasa,Jomvu,Miritini
KE0010020008,Mombasa,Jomvu,Mikindani
KE0010030009,Mombasa,Kisauni,Mjambere
KE0010030010,Mombasa,Kisauni,Junda
KE0010030011,Mombasa,Kisauni,Bamburi
KE0010030012,Mombasa,Kisauni,Mwakirunge
KE0010030014,Mombasa,Kisauni,Magogoni
KE0010060027,Mombasa,Mvita,Tudor
KE0010060028,Mombasa,Mvita,Tononoka
KE0472901445,Nairobi,Mathare,Hospital
KE0472901446,Nairobi,Mathare,Mabatini
KE0472901447,Nairobi,Mathare,Huruma
KE0472901448,Nairobi,Mathare,Ngei
KE0472901449,Nairobi,Mathare,Mlango Kubwa
KE0472901450,Nairobi,Mathare,Kiamaiko
KE0060230111,Taita Taveta,Taveta,Chala
KE0060230112,Taita Taveta,Taveta,Mahoo
KE0060230113,Taita Taveta,Taveta,Bomani
KE0060230115,Taita Taveta,Taveta,Mata
KE0060240116,Taita Taveta,Wundanyi,Wundanyi/Mbale
KE0060240117,Taita Taveta,Wundanyi,Werugha
KE0060240118,Taita Taveta,Wundanyi,Wumigu/Kishushe
KE0060240119,Taita Taveta,Wundanyi,Mwanda/Mgange
KE0060250120,Taita Taveta,Mwatate,Ronge
KE0060250121,Taita Taveta,Mwatate,Mwatate
KE0060250122,Taita Taveta,Mwatate,Bura
KE0060250123,Taita Taveta,Mwatate,Chawia
KE0060250124,Taita Taveta,Mwatate,Wusi/Kishamba
KE0060260125,Taita Taveta,Voi,Mbololo
KE0060260126,Taita Taveta,Voi,Sagala
KE0060260127,Taita Taveta,Voi,Kaloleni
KE0060260128,Taita Taveta,Voi,Maungu
KE0060260129,Taita Taveta,Voi,Kasigau
KE0060260130,Taita Taveta,Voi,Ngolia
